,0
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,1
890,1
891,4
892,4
893,4
894,5
895,5
896,5
897,5
898,6
899,6
900,6
901,6
902,5
903,6
904,6
905,3
906,3
907,3
908,2
909,2
910,2
911,2
912,2
913,2
914,2
915,2
916,1
917,1
918,1
919,1
920,1
921,1
922,1
923,1
924,4
925,4
926,4
927,5
928,5
929,5
930,5
931,5
932,5
933,6
934,6
935,6
936,5
937,5
938,5
939,3
940,3
941,2
942,2
943,2
944,2
945,2
946,2
947,1
948,1
949,1
950,1
951,1
952,1
953,1
954,4
955,4
956,4
957,4
958,5
959,5
960,5
961,6
962,6
963,6
964,6
965,6
966,6
967,3
968,3
969,3
970,3
971,3
972,3
973,3
974,3
975,3
976,3
977,3
978,2
979,2
980,2
981,2
982,3
983,2
984,2
985,1
986,1
987,1
988,1
989,1
990,1
991,1
992,1
993,1
994,1
995,1
996,4
997,4
998,4
999,4
1000,4
1001,5
1002,5
1003,6
1004,6
1005,6
1006,6
1007,5
1008,6
1009,6
1010,3
1011,3
1012,3
1013,3
1014,3
1015,3
1016,2
1017,2
1018,2
1019,2
1020,2
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,1
1030,4
1031,4
1032,4
1033,4
1034,4
1035,5
1036,5
1037,5
1038,5
1039,6
1040,6
1041,6
1042,6
1043,6
1044,6
1045,6
1046,2
1047,3
1048,3
1049,2
1050,3
1051,3
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,1
1059,1
1060,1
1061,1
1062,1
1063,1
1064,1
1065,4
1066,4
1067,4
1068,4
1069,4
1070,4
1071,4
1072,4
1073,4
1074,4
1075,5
1076,5
1077,5
1078,6
1079,6
1080,6
1081,6
1082,3
1083,3
1084,3
1085,3
1086,3
1087,3
1088,3
1089,2
1090,2
1091,2
1092,2
1093,2
1094,1
1095,1
1096,1
1097,1
1098,1
1099,1
1100,1
1101,1
1102,4
1103,4
1104,4
1105,4
1106,4
1107,4
1108,4
1109,4
1110,4
1111,5
1112,5
1113,5
1114,5
1115,5
1116,5
1117,6
1118,6
1119,6
1120,6
1121,3
1122,3
1123,3
1124,3
1125,2
1126,2
1127,2
1128,2
1129,2
1130,1
1131,1
1132,1
1133,1
1134,1
1135,1
1136,1
1137,1
1138,1
1139,1
1140,4
1141,4
1142,5
1143,5
1144,5
1145,5
1146,5
1147,5
1148,6
1149,6
1150,6
1151,3
1152,3
1153,3
1154,3
1155,3
1156,3
1157,3
1158,3
1159,3
1160,2
1161,2
1162,2
1163,2
1164,2
1165,2
1166,2
1167,1
1168,1
1169,1
1170,1
1171,1
1172,1
1173,4
1174,4
1175,4
1176,4
1177,5
1178,5
1179,5
1180,5
1181,6
1182,6
1183,6
1184,6
1185,5
1186,5
1187,6
1188,6
1189,3
1190,3
1191,3
1192,3
1193,3
1194,3
1195,2
1196,2
1197,2
1198,2
1199,2
1200,2
1201,1
1202,1
1203,1
1204,1
1205,1
1206,1
1207,4
1208,4
1209,4
1210,4
1211,4
1212,4
1213,5
1214,5
1215,5
1216,6
1217,6
1218,6
1219,3
1220,3
1221,3
1222,3
1223,3
1224,3
1225,3
1226,3
1227,3
1228,2
1229,2
1230,2
1231,2
1232,2
1233,2
1234,2
1235,2
1236,2
1237,1
1238,1
1239,1
1240,1
1241,1
1242,1
1243,1
1244,1
1245,4
1246,4
1247,4
1248,4
1249,4
1250,4
1251,4
1252,5
1253,5
1254,5
1255,5
1256,6
1257,6
1258,6
1259,3
1260,3
1261,3
1262,3
1263,3
1264,3
1265,3
1266,3
1267,3
1268,3
1269,3
1270,2
1271,2
1272,2
1273,2
1274,2
1275,2
1276,2
1277,2
1278,2
1279,1
1280,1
1281,1
1282,1
1283,1
1284,1
1285,4
1286,4
1287,4
1288,4
1289,5
1290,6
1291,6
1292,5
1293,5
1294,5
1295,5
1296,5
1297,6
1298,6
1299,6
1300,6
1301,3
1302,3
1303,3
1304,3
1305,3
1306,2
1307,2
1308,3
1309,2
1310,3
1311,1
1312,1
1313,1
1314,1
1315,1
1316,1
1317,1
1318,1
1319,4
1320,4
1321,4
1322,4
1323,4
1324,5
1325,5
1326,5
1327,5
1328,5
1329,5
1330,5
1331,5
1332,6
1333,6
1334,6
1335,6
1336,3
1337,3
1338,3
1339,3
1340,3
1341,3
1342,3
1343,3
1344,3
1345,3
1346,2
1347,2
1348,2
1349,2
1350,1
1351,1
1352,1
1353,1
1354,1
1355,1
1356,1
1357,1
1358,1
1359,4
1360,4
1361,4
1362,4
1363,4
1364,4
1365,5
1366,5
1367,5
1368,6
1369,6
1370,6
1371,6
1372,6
1373,6
1374,6
1375,3
1376,3
1377,3
1378,3
1379,2
1380,2
1381,2
1382,2
1383,1
1384,1
1385,1
1386,1
1387,1
1388,4
1389,4
1390,4
1391,5
1392,5
1393,6
1394,6
1395,6
1396,6
1397,6
1398,6
1399,6
1400,6
1401,3
1402,3
1403,3
1404,3
1405,3
1406,3
1407,3
1408,2
1409,2
1410,2
1411,3
1412,2
1413,2
1414,2
1415,1
1416,1
1417,1
1418,1
1419,1
1420,1
1421,1
1422,1
1423,4
1424,4
1425,4
1426,4
1427,4
1428,4
1429,5
1430,5
1431,5
1432,5
1433,5
1434,6
1435,6
1436,6
1437,6
1438,6
1439,6
1440,5
1441,5
1442,5
1443,6
1444,6
1445,3
1446,3
1447,3
1448,3
1449,3
1450,3
1451,3
1452,3
1453,3
1454,3
1455,3
1456,2
1457,2
1458,2
1459,2
1460,2
1461,2
1462,1
1463,1
1464,1
1465,4
1466,4
1467,4
1468,4
1469,4
1470,4
1471,5
1472,5
1473,5
1474,6
1475,6
1476,6
1477,6
1478,6
1479,6
1480,3
1481,3
1482,3
1483,3
1484,2
1485,3
1486,2
1487,1
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,4
1495,4
1496,4
1497,4
1498,4
1499,5
1500,5
1501,5
1502,5
1503,6
1504,6
1505,6
1506,6
1507,6
1508,6
1509,6
1510,3
1511,2
1512,2
1513,2
1514,2
1515,2
1516,2
1517,2
1518,1
1519,1
1520,1
1521,1
1522,4
1523,4
1524,4
1525,4
1526,4
1527,4
1528,4
1529,4
1530,4
1531,4
1532,4
1533,5
1534,5
1535,5
1536,5
1537,5
1538,5
1539,5
1540,5
1541,6
1542,6
1543,6
1544,6
1545,6
1546,3
1547,3
1548,3
1549,3
1550,3
1551,3
1552,3
1553,2
1554,2
1555,2
1556,2
1557,2
1558,1
1559,1
1560,1
1561,1
1562,1
1563,1
1564,1
1565,4
1566,4
1567,4
1568,4
1569,5
1570,6
1571,6
1572,6
1573,6
1574,6
1575,3
1576,3
1577,3
1578,3
1579,3
1580,2
1581,2
1582,2
1583,2
1584,2
1585,3
1586,1
1587,1
1588,1
1589,1
1590,1
1591,4
1592,4
1593,5
1594,5
1595,5
1596,6
1597,6
1598,6
1599,6
1600,3
1601,3
1602,3
1603,2
1604,2
1605,2
1606,1
1607,1
1608,1
1609,1
1610,1
1611,1
1612,1
1613,4
1614,4
1615,4
1616,4
1617,4
1618,5
1619,6
1620,6
1621,6
1622,5
1623,6
1624,6
1625,3
1626,3
1627,2
1628,3
1629,2
1630,2
1631,2
1632,2
1633,2
1634,1
1635,1
1636,1
1637,1
1638,4
1639,4
1640,4
1641,4
1642,5
1643,5
1644,5
1645,5
1646,6
1647,6
1648,6
1649,6
1650,5
1651,5
1652,5
1653,3
1654,3
1655,3
1656,2
1657,2
1658,2
1659,2
1660,2
1661,2
1662,1
1663,1
1664,1
1665,1
1666,4
1667,4
1668,4
1669,4
1670,4
1671,4
1672,4
1673,4
1674,4
1675,5
1676,6
1677,3
1678,3
1679,3
1680,3
1681,3
1682,2
1683,3
1684,3
1685,3
1686,2
1687,2
1688,2
1689,3
1690,2
1691,1
1692,1
1693,1
1694,1
1695,4
1696,4
1697,4
1698,4
1699,4
1700,5
1701,5
1702,5
1703,5
1704,6
1705,6
1706,6
1707,6
1708,6
1709,6
1710,3
1711,3
1712,3
1713,3
1714,3
1715,3
1716,3
1717,3
1718,2
1719,2
1720,2
1721,3
1722,1
1723,1
1724,1
1725,1
1726,1
1727,1
1728,4
1729,4
1730,4
1731,4
1732,5
1733,5
1734,5
1735,5
1736,5
1737,5
1738,6
1739,6
1740,6
1741,6
1742,3
1743,3
1744,3
1745,3
1746,3
1747,2
1748,2
1749,1
1750,1
1751,1
1752,1
1753,1
1754,1
1755,1
1756,1
1757,4
1758,4
1759,4
1760,4
1761,4
1762,4
1763,5
1764,5
1765,5
1766,5
1767,5
1768,5
1769,6
1770,6
1771,6
1772,6
1773,3
1774,3
1775,3
1776,3
1777,2
1778,2
1779,2
1780,2
1781,1
1782,1
1783,1
1784,1
1785,1
1786,1
1787,1
1788,1
1789,4
1790,4
1791,4
1792,5
1793,5
1794,5
1795,6
1796,6
1797,6
1798,6
1799,6
1800,6
1801,6
1802,3
1803,3
1804,3
1805,3
1806,3
1807,3
1808,3
1809,3
1810,3
1811,3
1812,2
1813,1
1814,1
1815,1
1816,1
1817,1
1818,1
1819,1
1820,1
1821,4
1822,4
1823,4
1824,4
1825,4
1826,5
1827,5
1828,6
1829,6
1830,6
1831,6
1832,3
1833,3
1834,3
1835,3
1836,3
1837,3
1838,3
1839,2
1840,2
1841,2
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,4
1851,4
1852,4
1853,4
1854,4
1855,4
1856,5
1857,6
1858,6
1859,6
1860,6
1861,5
1862,5
1863,5
1864,6
1865,5
1866,5
1867,6
1868,6
1869,3
1870,3
1871,3
1872,3
1873,2
1874,2
1875,2
1876,3
1877,2
1878,2
1879,2
1880,3
1881,1
1882,1
1883,1
1884,1
1885,1
1886,1
1887,1
1888,1
1889,4
1890,4
1891,5
1892,5
1893,5
1894,5
1895,6
1896,6
1897,6
1898,6
1899,6
1900,3
1901,3
1902,3
1903,3
1904,3
1905,3
1906,2
1907,2
1908,2
1909,2
1910,2
1911,2
1912,2
1913,2
1914,2
1915,2
1916,2
1917,2
1918,1
1919,1
1920,1
1921,1
1922,1
1923,1
1924,1
1925,1
1926,4
1927,4
1928,4
1929,4
1930,4
1931,4
1932,4
1933,4
1934,4
1935,5
1936,5
1937,5
1938,5
1939,5
1940,5
1941,5
1942,6
1943,6
1944,6
1945,6
1946,6
1947,3
1948,3
1949,3
1950,3
1951,3
1952,3
1953,3
1954,3
1955,3
1956,3
1957,3
1958,3
1959,3
1960,3
1961,2
1962,2
1963,2
1964,1
1965,1
1966,1
1967,1
1968,1
1969,1
1970,4
1971,4
1972,4
1973,4
1974,4
1975,5
1976,5
1977,5
1978,5
1979,5
1980,6
1981,6
1982,6
1983,6
1984,6
1985,3
1986,3
1987,3
1988,3
1989,2
1990,2
1991,2
1992,2
1993,2
1994,1
1995,1
1996,1
1997,1
1998,1
1999,1
2000,1
2001,1
2002,4
2003,5
2004,5
2005,5
2006,5
2007,5
2008,5
2009,5
2010,5
2011,6
2012,6
2013,6
2014,6
2015,6
2016,6
2017,6
2018,6
2019,6
2020,3
2021,3
2022,3
2023,3
2024,3
2025,3
2026,3
2027,2
2028,2
2029,2
2030,2
2031,2
2032,2
2033,1
2034,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,4
2041,4
2042,4
2043,4
2044,4
2045,4
2046,4
2047,4
2048,4
2049,5
2050,5
2051,5
2052,6
2053,6
2054,6
2055,6
2056,5
2057,5
2058,6
